Phylum,Class,Order,Family,Genus,Species,Subspecies,Authority,Year,ID,State,County,Cave,TypeLoc,Lat,Lon,Notes,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Spelaedrilus,multiporus,,Cook,1975,22,VA,Russell,Smiths Cave,y,36.8569,-82.1039,,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Stylodrilus,beattiei,,Cook,1975,47,VA,Tazewell,Steeles Cave,,37.1178,-81.4950,,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Stylodrilus,beattiei,,Cook,1975,,WV,Greenbrier,Court Street Cave,,37.8081,-80.4414,,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Stylodrilus,beattiei,,Cook,1975,,WV,Greenbrier,Friars Hole System,,38.0622,-80.3383,,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Stylodrilus,beattiei,,Cook,1975,,WV,Pocahontas,Tub Cave,y,38.2147,-80.1566,,
Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,Trichodrilus,culveri,,Cook,1975,,WV,Pocahontas,Tub Cave,y,38.2147,-80.1566,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,5,VA,Alleghany,Wares Cave,,37.8742,-79.8944,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,5,VA,Bath,Clarks Cave,,38.0869,-79.6555,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Allisons Cave,,37.9589,-80.4081,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Arbuckle Cave,,37.8653,-80.4036,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Benedicts Cave,y,37.8547,-80.3903,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Coffman Cave,,37.9183,-80.4158,,
Arthropoda,Arachnida,Araneae,Linyphiicdae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Fuells Fruit Cave,,37.9728,-80.4061,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Grapevine Cave,,37.8311,-80.4478,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Higginbothams Cave,,37.9312,-80.4071,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Hillside Pit  ,,37.9510,-80.4029,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Ludington Cave,,37.8908,-80.3892,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,McClung Cave,,37.8811,-80.3903,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Nellies Cave,,37.9779,-80.4039,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Organ Cave,,37.7183,-80.4369,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Poorfarm Cave,,37.9633,-80.4636,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Rapps Cave,,37.9789,-80.3967,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,The Hole  ,,37.9381,-80.3522,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Upper Buckeye Creek Cave,,37.9736,-80.3999,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Whites Cave,,37.7062,-80.4458,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Greenbrier,Zimmermans Pit,,37.9913,-80.3892,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Mercer,Big Spring Cave,,37.2936,-81.1064,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Mercer,Caldwell Cave,,37.3208,-80.9317,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Monroe,Scott Hollow Cave,,37.6827,-80.5579,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Pocahontas,Piddling Pit,,38.3417,-80.0261,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,coylei,,Miller,2005,,WV,Pocahontas,Poor Farm Cave,,38.1231,-80.2214,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,monmouthia,,Tellkampf,1844,6,VA,Scott,Harris Pit Cave,,36.6828,-82.6061,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,monmouthia,,Tellkampf,1844,6,VA,Scott,McNew Cave,,36.7533,-82.6928,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Anthrobia,monmouthia,,Tellkampf,1844,6,VA,Smyth,Buchanan Saltpetre Cave,,36.9097,-81.5772,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,weyeri,,(Emerton),1875,7,VA,Augusta,Grand Caverns Cave,,38.2603,-78.8361,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,weyeri,,(Emerton),1875,,WV,Greenbrier,Allisons Cave,,37.9589,-80.4081,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,weyeri,,(Emerton),1875,,WV,Greenbrier,McClung Cave,,37.8811,-80.3903,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,weyeri,,(Emerton),1875,,WV,Greenbrier,McFerrin Cave,,37.9347,-80.4769,,
Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,weyeri,,(Emerton),1875,,WV,Greenbrier,Organ Cave,,37.7183,-80.4369,,
